Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Ecosite,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes
OSM_LU2,14-Jul-21,NA,RS LKE,LU2_54,LU2_54,536,1317,55.00331,-111.41174,LU2-54,upland,"Open, mature white spruce & aspen stand, large tall trees. Shorter shrubby understory. Faint game trails in stand. Old cutblocks in area, older logging roads. Saw white-tailed deer on way in.",Flat,0,698,3,NW,1,6,Accessed off resource road S of Heart Lake. Parked at offshoot road (very grown in - walked in on road) & followed game trail into a mature stand.
OSM_LU2,14-Jul-21,1408,RS LKE,LU2_56,LU2_56,634,NA,55.01672,-111.39808,LU2-56,upland,Along game trail in open stand of mixed wood (paper birch and confiers). Minimal understory.,Flat,0,689,3,NW,2,5,"Park on W-side of road and bushwack to camera site. Near ""cutline"" on map but it only exists on E-side of road."
OSM_LU2 ,14-Jul-21,NA,RS LKE,LU2_57,LU2_57,86,4000,55.04159,-111.39145,LU2-57,upland,"Open, mature white spruce & aspen stand, tall trees & tall shrubby understory. Lots of deadfall. Some light game trails snaking through area. Fresh wolf (?) scat on road.",Flat,0,634,3,E,2,5,"Drove all the way down resource road south of Heart Lake, til treefall blocked road. Walked ~1.3km down road & followed game trial into spruce aspen stand."
OSM_LU3,11-Jul-21,1340,RS SF,LU3_05,LU3_05,231,2153,55.34055,-110.86127,LU3-05,lowland,"Patch of conifer forest adjacent to large open grass meadow (clear cut?). Lots of deadfall, hard to find any distinct game trails in area.",Flat,0,680,1,N,1,6,Parked next to road by open field. Walked at edge of field & forest & entered forest W. Some deer scat in area.
OSM_LU3,09-Jul-21,1016,LKE MAY,LU3_07,LU3_07,289,1028,55.40634,-110.75082,LU3-07,lowland,"Dry black sspruce/pine stand, lichen & rose understory. In stand next to a powerline & pipeline, lots of cutlines; quiet area, ungulate tracks",Flat,0,622,2,NE,2,6,Road to site is closed (winter road?). Walked in 1/2km down road and turned down cutline (pipeline?) - site is off of powerline.
OSM_LU3,09-Jul-21,NA,LKE MAY,LU3_10,LU3_10,172,,55.43207,-110.78266,LU3-10,lowland,"Black spruce bog, open & mossy, labrador tea understory, faint game trails throughout, fewer cutlines. Camera on intersection of 2 game trails. Not a ton of tracks but still ungulate tracks around.",Flat,0,659,3,N,1,5,Parked on side of offshoot road from main road & walked in along a cutline. Camera seems to be bad at taking photos (note 08/2021 from data entry: possibly due to extreme heat during deployment).
OSM_LU3,11-Jul-21,1302,RS SF,LU3_102,LU3_102,187,1218,55.33055,-110.85629,LU3-102,unknown,On game trail coming into forest from wide legacy line (~50m). Camera facing into forest.,Flat,0,687,2,NW,2,4,Park just before junction of forestry road w/ cold lake weapons range gate. Head into forest on W-side of road or follow legacy line edge.
OSM_LU3,11-Jul-21,NA,RS SF,LU3_103,LU3_103,181,1596,55.33152,-110.8249,LU3-103,unknown,Upland forest w/ lots of 3D seismic line grids.,Slope,2,700,2,NE,2,6,"Park on side of road, walk into forest - follow 3D seismic lines. Ungulate scat - possibly caribou?"
OSM_LU3,11-Jul-21,1443,RS SF,LU3_106,LU3_106,578,208,55.36141,-111.09341,LU3-106,unknown,On game trail off of old cutline (some scat on line). ,Slope,2,734,1,NW,2,2.5,Pull into pull out on S-side of road. Bushwhack through forest to overgrown cutline. Follow to camera.
OSM_LU3,11-Jul-21,NA,LKE MAY,LU3_111,LU3_111,650,,55.39863,-111.1192,LU3-111,unknown,"Open older pine stand w/ large trees, aspens & labrador tea understory. Upland hill-ish area. Nice defined game trails. Noisy transfer station nearby. Deer tracks in area. Locked with A2 Key.",Flat,0,715,4,N,2,7,Drove up dirt road & parked where a tree fell across road; walked another ~100m toward transfer station & turned in to walk up a game trail. Easy walking. Don't drive road it it is raining. Used OSM A2 key.
OSM_LU3,09-Jul-21,NA,RS SF,LU3_126,LU3_126,153,3415,55.55315,-110.772418,LU3-126,unknown,On cutline in slightly marshy setion. Facing towards a potential cross road of trails. Note: did not update camera label to LU3-126,Flat,0,600,3,NW,3,8,"Drove east to the end of the road from the Cenovus camp. Then south towards LU3-126. Road ends at processing site/well pad(?) Hiked into forest near the office and picked up a cut line going EW. 1. When on cutline after 1-2m, had NW. Bush loos thick but open up & you avoid bog. 2. Camera set up on cutline ~200m east of the end of the road."
OSM_LU3,09-Jul-21,1204,RS SF,LU3_129,LU3_129,108,4117,55.57962,-110.82375,LU3-129,unknown,Camera facing convergence of two well-defined game trails in mossy understory,Flat,0,578,2,SE,3,5,Drive to SW edge of well pad (enter W). Walk ~200m through forest you will come to an open grass patch w/ shrubs. Follow game trail through grass to aspen stand. Through wall of aspen is sparsely spaced confierous trees.
OSM_LU3,11-Jul-21,NA,LKE MAY,LU3_13,LU3_13,301,1560,55.50208,-111.11472,LU3-13,lowland,"Black spruce stand at edge of aspen stand, mossy understory w/ labrador tea, birch shrubs, horsetail. Followed a game trail in off an old cutline. Lots of large cutlines in area. Lots of moose scat and some deer(?) scat in area. Locked with A1 lock.",Flat,0,681,3,N,2,6,Parked at gravel pit (road has a knocked over barricade). Walked in on old road-ish feature on west side of pit ()may have to walk around large pile to find it). Lots of human junk & some camping sign in area. Followed a cutline off old road then followed a game trail in to site. Locked with A1 lock (OSM A1 key).
OSM_LU3,11-Jul-21,1138,RS SF,LU3_131,LU3_131,195,997,55.33239,-110.79513,LU3-131,unknown,on 3D seismic line. Moss understory. Upland w/ some lowland on access.,Flat,0,692,2,N,2,4,Park roadside as close as possible. Follow seismic lines to GPS location.
OSM_LU3,11-Jul-21,NA,LKE MAY,LU3_137,LU3_137,590,,55.42564,-111.19794,LU3-137,unknown,Open pine forest w/ thin trees at an edge transitioning into a wetter black spruce stand. Minimal understory w/ lichen. Deer scat in front of camera + followed deer into area. Camera on a couple intersecting game trails.,Flat,0,687,4,N,2,8,"Parked on side of south Kirby plant road, easy walk in. Site used to replace inaccessible cell (37). "
OSM_LU3,08-Jul-21,NA,RS SF,LU3_14,LU3_14,636,565,55.50061,-111.09364,LU3-14,lowland,On a cut line in an area surrounded by bog lan,Flat,0,700,3,NE,3,6,Pulled into small truck trail on the west side of the highway. Followed cut lines going east away from hwy. ~200m from hwy.
OSM_LU3,09-Jul-21,1650,RS SF,LU3_147,LU3_147,608,883,55.53844,-110.84415,LU3-147,unknown,Amongst sparse coniferous trees behind aspen stand. Camera facing game trail w/ lured shrub.,Flat,0,625,2,NE,3,5,Pull off main road on W side at a reclamation pond. Follow game trail through aspen stand to camera location.
OSM_LU3,10-Jul-21,1117,RS SF,LU3_15,LU3_15,649,162,55.4944,-110.79516,LU3-15,lowland,"Camera facing cutline. Upland. Lured downed tree right in front of camera, proceed with caution!",Flat,0,639,2,NE,3,4,Pull over roadside near clear cutline on S side of road. Follow cutline for ~200m. Camera on W-side of cutline. NOTE: need to get Cenovus contact to open emergency egress gates - there are TWO of them (can't see the second one from the first).
OSM_LU3,10-Jul-21,1357,RS SF,LU3_17,LU3_17,299,3734,55.51204,-110.85303,LU3-17,lowland,"On old cutline among confiers, moss/lichen understory. Upland.",Flat,0,623,2,NW,2,4,"Park as close as possible on road. Access via W-side of road, across grass across powerline and into forest on old cutline w/ some deadfall"
OSM_LU3,11-Jul-21,NA,LKE MAY,LU3_18,LU3_18,156,1176,55.53731,-111.11633,LU3-18,lowland,"Boggy area, skinny pines & larches, lots of deadfall. Minimal wildlife sign. Camera placed on faint game trail. Lots of labrador tea & moss. Access road looks like issued for ATVing.",Flat,0,649,3,NE,1,5,"Access road is fenced off, ATV use only. Walked in on road. Camera is justy outisde cell, inside cell is mostly bog with small trees, couldn't find good place to put camera."
OSM_LU3,08-Jul-21,NA,LKE MAY,LU3_19,LU3_19,371,1244,55.52431,-111.07001,LU3-19,lowland,Junction of two cutlines through larch-dominated bog. BEAUTIFUL. Trees are sparse. Wet but little pooling/standing water.,Flat,0,664,3,SE,2,7,"Walked from well pad to site down cutline starting at ""sub-soil pile"". Parked at far end of well pad closest to GPS point. Saw a caribou on closest well pad. Forgot to add user label in camera. "
OSM_LU3,08-Jul-21,NA,LKE MAY,LU3_20,LU3_20,409,3298,55.5267,-111.04119,LU3-20,lowland,"Area behind a reflection pond that is very cutline-dense. Black spruce & pine dominant. Lots of ungulate tracks, some scat. Camera on smaller cutline intersecting w/ game trail.",Flat,0,683,3,NE,3,7,"Parked in pullout around the bottom center of grid cell 20. Walked under pipeline & around pond, enter on obvious cutline. Forgot to add user label in camera"
OSM_LU3,08-Jul-21,NA,LKE MAY,LU3_21,LU3_21,355,891,55.52354,-110.91676,LU3-21,lowland,"Camera aimed at wide (6m) cutline. Dry, mossy understory. Dense black spruce stand. Well-defined game trail along the cutline.",Flat,5,627,3,N,2,7,Parked by small building on short off-shoot road from a main road then walked in along obvious cutline on the bend of the short road near building
OSM_LU3,08-Jul-21,NA,LKE MAY,LU3_25,LU3_25,587,365,55.54139,-110.90796,LU3-25,lowland,"Well-defined game trail along ridge. Understory of rose and lichen. Loud, active well site nearby. Relatively large black spruce trees, moderately dense.",Ridge,0,612,3,SE,2,6,"Parked on shoulder of road sout of offshoot road to nearest well site (north of camera). Walked along cutline perpendicular to main road, leading towards lake."
OSM_LU3,10-Jul-21,1517,RS SF,LU3_27,LU3_27,610,233,55.5513,-110.96253,LU3-27,lowland,Open jackpine forest at edge of some aspens/alder. Slight slope w/ mossy & open understory. Close to road (~50m).,Slope,5,610,1,E,3,5,Park on side of road. Walk into jackpine forest (N).
OSM_LU3,09-Jul-21,1735,RS SF,LU3_28,LU3_28,337,789,55.551544,-110.88773,LU3-28,lowland,Stand of confiers close to some aspen stands. Burrow ~15m down the trail?,Flat,0,600,5,N,3,7,"Parked just after bend in road, on the side.  Hiked along cut line (dry) and picked up game trail going into forest."
OSM_LU3,08-Jul-21,NA,RS SF,LU3_32,LU3_32,285,3995,55.40952,-111.20451,LU3-32,upland,In sparse forest w/ mossy understory facing well-defined game trail,Flat,0,710,4,NE,3,7,Take gravel road on E side of hwy 881 till just before gravel pit.  Camera is on S-side of road. Easy access through any part of forest.
OSM_LU3,10-Jul-21,NA,LKE MAY,LU3_36,LU3_36,140,1074,55.44786,-111.22414,LU3-36,upland,Primarily deciduous forest with large aspens and shorter spruce. Camera on poorly defined game trail with dense understory of grasses and aspen. Low canopy cover.,Flat,2,703,2,N,1,4,"Parked on side of road just outside of the CNRL security gate, then walked directly in towards site."
OSM_LU3,09-Jul-21,NA,LKE MAY,LU3_38,LU3_38,346,,55.44706,-110.76387,LU3-38,upland,"Black spruce stand, open area w/2 intersecting game trails (not very distinct), lots of labrador tea. Some ungulate trails",Flat,0,673,4,E,1,5,Parked on road side & followed some trails in. Camera placed on edge of cell to avoid being close to a JEM site.
OSM_LU3,10-Jul-21,NA,LKE MAY,LU3_39,LU3_39,149,1597,55.46641,-111.23818,LU3-39,upland,"Mixed aspen and spruce stand surrounded by well sites and clearcutes. Camera on poorly defined game trail. Understory of aspens, but mostly leafy debris. Lots of downed woody debris. ",Flat,0,687,3,N,1,6,Parked on nearest well site then walked east to forest stand. Accessed by following road straight after entering CNRL security gate. Fresh scat on trail directly in front of camera.
OSM_LU3,10-Jul-21,NA,LKE MAY,LU3_40,LU3_40,163,1281,55.47251,-111.16615,LU3-40,upland,"Wet, boggy area. Camera put in single patch of tamarack, area outside otherwise fairly treeless/has fairly short trees. Mossy understory with lots of bog plants. Very faint game trail on a cutline.",Flat,0,705,3,NE,1,7,"Enter CNRL Kirby gate, drive to last well pad & park to walk in. Camera just outside of cell because few spots for cameras. + have to move some other sites. Note: lock won't unlock - might need bolt cutters to remove."
OSM_LU3,10-Jul-21,NA,LKE MAY,LU3_41,LU3_41,629,"new SD, no number",55.46186,-111.16666,LU3-41,upland,"Grassy upland, dried bog surrounded by forest dominated by mixed aspen and spruce. Understory of rose and horsetails. Forest stand is surrounded by clear cuts.",Flat,0,732,2,E,1,5,"Parked at nearest well site, north of camera site. Walked west along cutline, southhwest of well site, then turned to enter huge cutblock to the south. Walked through cutblock to camera. Disturbed wasp nest and nearly got attacked, then sat on roses. Evil site based on longitude. Little animal sign, only poorly defined game trail"
OSM_LU3,10-Jul-21,1250,RS SF,LU3_44,LU3_44,171,4075,55.50131,-110.84864,LU3-44,upland,Camera in slightly open area - dry and mossy; stand of pine and spruce.,Slope,3,630,1,WSW,2,4,Parked on side of road and hiked in ~100m.
OSM_LU3,08-Jul-21,NA,LKE MAY,LU3_45,LU3_45,382,306,55.51747,-110.96503,LU3-45,lowland,Cutline adjacent heading to clearing. Forest dominated by black spruce. Fairly dry with mossy understory. Well-defined game trail.,Flat,0,697,2,NE,2,5,"Parked on road leading to Jackfish 3 plant. Walked in along cutline about 45 degree angle with the road, leading towards Jackfish plant. Following cutline to clearing w/ tall grass, then turn right. MOSQUITOS!"
OSM_LU3,09-Jul-21,NA,LKE MAY,LU3_46,LU3_46,105,1615,55.5084,-110.89555,LU3-46,upland,"Open, older black spruce forest - tall trees. Lots of aspen & labrador tea, mossy understory. Faint game trails through area. Bear scat seen on walk in.",Flat,0,626,5,E,NA,6,"Parked on roadside, walked into site along cutline."
OSM_LU3,08-Jul-21,NA,RS SF LKE MAY,LU3_48,LU3_48,577,520,55.54892,-111.09771,,lowland,"Dry sandy clearing with small, dense jack pine stands. Camera is above clearing with signs of random camping, about 30m away. Camera is on medium sized jackpine. Locked with A1 lock.",Flat,0,637,6,N,1,6,Drove down obvious cutline just west of main Jackfish plant access road. Walked north past pond/beaver dam into clearing. Locked with OSM A1 lock.
OSM_LU3,08-Jul-21,NA,LKE MAY,LU3_50,LU3_50,618,1534,55.55165,-111.03035,LU3-50,upland,Intersection of old cutline and diverging game trail. Aimed at 2 game trails diverging from one. Mixed aspen and black spruce forest. Labrador tea understory.,Flat,5,644,4,N,2,7,Parked on shoulder of main Jackfish road and walked straight in towards site; use main cutlines to walk along.
OSM_LU3,09-Jul-21,1243,RS SF,LU3_51,LU3_51,323,1453,55.55753,-110.82767,LU3-51,upland,Habitat edge between open meadow/shrubs and conifer forest.,Flat,0,600,1,NW,2,5,"Parked on side of road, walked E towards aspens/open meadow. Cutline running N-S at the center of open meadow w/ a solar panel."
OSM_LU3,09-Jul-21,NA,LKE MAY,LU3_52,LU3_52,627,514,55.56306,-110.89193,LU3-52,upland,"Open pine & aspen forest, taller trees, minimal understory. Game trail on old cutline. RT hawk in area that circled and hawked at us for ~10 mins.",Flat,0,586,5,NE,3,7,Parked at an oil pad off Cenovus roads (need to go through Cenovus gates). Don't actually park on or walk through the well pad. Walked in on an older road to the right of the well pad. Camera seems to have an issue with detections - was not taking many photos on set up - subject needs to be fairly close. (note 08/2021 from data entry: possibly due to extreme heat during deployment).
OSM_LU3,08-Jul-21,NA,RS SF LKE MAY,LU3_49,LU3_49,647,459,55.55693,-111.07931,LU3-49,lowland,Young aspen stand w/ lots of deadfall along old cutline. Located on an aspen facing deadfall that is lured. ,flat,3,650,5,SE,3,8,"Off hwy 881 onto industry road, pulled into old gravel pit w/ gate to park. Walk to the NE corner of pit and follow cutlines to camera. Large ungulate tracks in area."
